Gutenberg ID,Date,Gender,Penname
514,1868,F,Y
18581,1904,M,N
5348,1868,M,N
158,1815,F,Y
105,1818,F,Y
1342,1813,F,Y
1206,1914,F,Y
969,1848,F,Y
1260,1847,F,Y
768,1847,F,Y
2095,1853,M,N
113,1911,F,N
6053,1778,F,Y
62,1912,M,N
78,1912,M,N
2084,1903,M,N
11,1865,M,Y
24,1913,F,N
44,1915,F,N
472,1900,M,N
1695,1908,M,N
160,1899,F,N
1155,1922,F,N
155,1868,M,N
219,1899,M,Y
974,1907,M,Y
940,1826,M,N
73,1895,M,N
876,1861,F,Y
521,1719,M,Y
1023,1852,M,Y
766,1849,M,Y
1400,1861,M,Y
730,1838,M,Y
1661,1892,M,N
2852,1902,M,N
233,1900,M,N
15265,1911,M,Y
145,1871,F,Y
550,1861,F,Y
12677,1914,F,N
6593,1749,M,Y
9830,1922,M,N
805,1920,M,N
2775,1915,M,Y
2641,1908,M,N
2891,1910,M,N
4276,1855,F,N
32,1915,F,N
502,1913,M,N
3457,1919,M,N
711,1887,M,N
2166,1885,M,N
27,1874,M,N
110,1891,M,N
77,1851,M,N
33,1850,M,N
95,1894,M,N
41,1820,M,Y
208,1879,M,N
432,1903,M,N
209,1898,M,N
367,1896,F,N
2807,1899,F,N
4217,1916,M,N
2814,1914,M,N
4300,1922,M,N
217,1913,M,N
543,1920,M,N
215,1903,M,Y
351,1915,M,N
11231,1853,M,N
2489,1851,M,N
45,1908,F,N
41286,1866,F,N
60,1905,F,Y
932,1839,M,N
1064,1842,M,N
4051,1915,F,N
3268,1794,F,N
434,1908,F,N
171,1791,F,N
271,1877,F,N
84,1823,F,N
120,1883,M,N
345,1897,M,N
829,1726,M,N
8867,1918,M,N
599,1848,M,N
76,1884,M,Y
74,1876,M,Y
1327,1898,F,Y
238,1915,F,Y
5230,1897,M,N
36,1897,M,N
541,1920,F,N
174,1890,M,N
2005,1919,M,N
16357,1788,F,N
1245,1919,F,Y